Ground Truth,Modified RAG Answer,Traditional RAG Answer,BERTScore for Modified,Exact Match for Modified,BLEU Score for Modified,ROUGE-1 for Modified,ROUGE-2 for Modified,ROUGE-L for Modified,BERTScore for Traditional,Exact Match for Traditional,BLEU Score for Traditional,ROUGE-1 for Traditional,ROUGE-2 for Traditional,ROUGE-L for Traditional
boybands,The Backstreet Boys are considered a boyband. Westlife is also considered a boyband.,"The Backstreet Boys are a boyband, while Westlife are described as soft rock.",0.834115505,0,0,0.142857143,0,0.142857143,0.833845556,0,0,0.142857143,0,0.142857143
power pops,Westlife plays power pop.,Westlife plays power pop.,0.828799486,0,0.080342842,0.666666667,0.5,0.666666667,0.828799307,0,0.080342842,0.666666667,0.5,0.666666667
soft rock,The Eagles play country rock.,The Eagles play country rock music.,0.889175415,0,0,0.285714286,0,0.285714286,0.88022846,0,0.040824829,0.25,0,0.25
18-54,18-54 age group,The target age range for Hot AC stations is primarily aimed at adults aged 25-44.,0.869123936,0,0.113621937,0.666666667,0.5,0.666666667,0.807268977,0,0,0,0,0
KMXB,Mike Marino worked for KMXB in Las Vegas in 1997.,Mike Marino worked for KMXB in Las Vegas in 1997.,0.841528893,0,0.021105341,0.181818182,0,0.181818182,0.841528893,0,0.021105341,0.181818182,0,0.181818182
Las Vegas,The radio station KMXB was based in Las Vegas in 1997.,The radio station KMXB was based in Las Vegas in 1997.,0.863448799,0,0.039863571,0.307692308,0.181818182,0.307692308,0.863448799,0,0.039863571,0.307692308,0.181818182,0.307692308
18-34,"Modern rock radio stations are focused on an adult audience, typically targeting those in the 25-44 age group.",Modern rock radio stations primarily target an audience in the 18-34 age range.,0.798836887,0,0,0,0,0,0.809376001,0,0.015537126,0.25,0.142857143,0.25
men,Modern rock radio is geared towards men.,Modern rock radio is geared towards men.,0.825662971,0,0,0.25,0,0.25,0.825662971,0,0,0.25,0,0.25
women,Adult contemporary radio is said to appeal to women.,Adult contemporary radio is said to appeal to women.,0.831184268,0,0,0.2,0,0.2,0.831184268,0,0,0.2,0,0.2
adult,The target demographic of urban AC stations is primarily adults aged 25-44.,Urban AC stations target an adult audience primarily in the age range of 25-44.,0.809715688,0,0,0.142857143,0,0.142857143,0.805573523,0,0.014283633,0.125,0,0.125
African-American,The target demographic of Urban AC radio is adult African Americans,"Urban AC radio usually targets African Americans and sometimes Caucasian listeners through playing great deal of R&B (without any form of rapping), gospel music, classic soul and dance music (including disco).",0.849744678,0,0,0.307692308,0.181818182,0.307692308,0.832727849,0,0,0.117647059,0.0625,0.117647059
Des'ree,Des'ree,Urban AC format radio stations primarily play R&B and soul music with little hip-hop.,0.999999642,1,0.177827941,1,1,1,0.781007588,0,0,0,0,0
I Ain't Movin',Des'ree's album I Ain't Movin' was massively popular amongst both African American audience as well as the wider national audience.,Des'ree's album I Ain't Movin' was massively popular amongst both African American audience as well as the wider national audience.,0.87702024,0,0.047660825,0.296296296,0.24,0.296296296,0.87702018,0,0.047660825,0.296296296,0.24,0.296296296
black,Urban Adult Contemporary radio stations primarily play artists of African American descent.,Urban Adult Contemporary radio stations primarily play artists of African descent.,0.810993016,0,0,0,0,0,0.816813171,0,0,0,0,0
soft AC,Urban AC is similar to modern adult contemporary radio format in that it includes modern rock titles in its presentation.,Urban AC and soft AC are similar in that they both primarily play R&B and soul music with little hip-hop.,0.820996761,0,0.009629944,0.090909091,0,0.090909091,0.833390057,0,0.020364851,0.166666667,0.090909091,0.166666667
hip-hop,Urban AC does not play hip-hop frequently.,Urban AC stations typically play acoustic music with primarily solo vocalists.,0.883317471,0,0.033031643,0.4,0.25,0.4,0.84248811,0,0,0,0,0
R&B and soul music,The two genres of music that are popular on urban AC are R&B and hip-hop.,Urban AC stations primarily play R&B and soul music with little hip-hop.,0.871565402,0,0.030934588,0.363636364,0.2,0.272727273,0.886951387,0,0.212006268,0.526315789,0.470588235,0.526315789
Luther Vandross,Sorry. I cannot find the answer based on the context.,Sorry. I cannot find the answer based on the context.,0.775593877,0,0,0,0,0,0.775593877,0,0,0,0,0
hot AC,Urban AC is not similar to modern adult contemporary.,Urban AC is not similar to soft rock.,0.852279961,0,0.023980297,0.181818182,0,0.181818182,0.867902279,0,0.02777619,0.2,0,0.2
rhythmic oldies,Urban oldies or rhythmic oldies,Urban oldies,0.900930166,0,0.113621937,0.571428571,0.4,0.571428571,0.914011061,0,0.149534878,0.5,0,0.5
1960s,1960s,'The earliest decade of music typically featured on the rhythmic oldies format is usually from the 1960s/70s onwards.',0.999999285,1,0.177827941,1,0,1,0.817726672,0,0,0.1,0,0.1
1990s,The most recent decade music from which music can be heard on a rhythmic oldies station is the 1970s.,The most recent decade music from which music can be heard on a rhythmic oldies station is the early and mid-1970s.,0.824151576,0,0,0,0,0,0.817886293,0,0,0,0,0
African-Americans,"The target demographic of the rhythmic oldies format is primarily older adults who grew up listening to R&B and soul hits from the 1960s to the 1990s. However, it can also appeal to younger listeners who are interested in learning about the music and culture of previous decades.",The target demographic of rhythmic oldies format is African-Americans.,0.838545978,0,0,0,0,0,0.880481541,0,0,0.333333333,0.2,0.333333333
quiet storm,The radio format that consists of ballads and slow jams is called Adult Contemporary Music (AC).,The radio format that consists of ballads and slow jams is known as Adult Contemporary Music (AC).,0.804023027,0,0,0,0,0,0.80447036,0,0,0,0,0
quiet storm,Hot AC,"The name of the radio format that is a mixture of urban and soft adult contemporary is ""urban adult contemporary"".",0.861955941,0,0,0,0,0,0.805932879,0,0,0,0,0
the evening,"The quiet storm format is typically played during the evening hours, blending urban AC and soft adult contemporary music styles.","The quiet storm format is often played during the evening, blending urban AC and soft adult contemporary music.",0.842492223,0,0.020364851,0.181818182,0.1,0.181818182,0.847597182,0,0.010802315,0.2,0.111111111,0.2
Black and Latino,The typical ethnicity of artists played on quiet storm stations is mostly Black and Latino artists.,The typical ethnicity of artists played on quiet storm stations is mostly Black and Latino.,0.851803005,0,0.06087895,0.315789474,0.235294118,0.315789474,0.856420279,0,0.027952556,0.333333333,0.25,0.333333333
Vanessa L. Williams,Johnny Gill,Sorry. I cannot find the answer based on the context.,0.835703313,0,0,0,0,0,0.839962125,0,0,0,0,0
mainstream AC,The station format that might feature music from Sade would be an adult contemporary station.,The station format that might feature music from Sade is adult contemporary.,0.816133738,0,0,0,0,0,0.820117474,0,0,0,0,0
smooth jazz,Hip hop,Urban contemporary,0.891688943,0,0,0,0,0,0.893116117,0,0,0,0,0
the weekends,Smooth jazz can be heard on soft AC stations during weekends.,The smooth jazz format has been renamed to Smooth AC in recent years as an attempt to lure younger listeners.,0.866470635,0,0,0.153846154,0,0.153846154,0.822643697,0,0,0.090909091,0,0.090909091
Smooth AC,Smooth jazz has been rebranded as smooth AC to attract younger audiences by emphasizing its adult contemporary roots and instrumental nature.,Smooth AC,0.825935364,0,0.010862722,0.173913043,0.095238095,0.173913043,1.000000238,1,0.316227766,1,1,1
to lure younger listeners,The smooth jazz format was renamed Smooth AC to lure younger listeners.,The smooth jazz format was renamed to Smooth AC.,0.903549969,0,0.084301189,0.5,0.428571429,0.5,0.85921973,0,0.023980297,0.153846154,0,0.153846154
urban AC,Adult contemporary R&B may be played on both soft AC stations and urban AC.,Adult contemporary R&B may be played on both soft AC stations and urban AC.,0.82665205,0,0.016986197,0.235294118,0.133333333,0.235294118,0.82665205,0,0.016986197,0.235294118,0.133333333,0.235294118
songcraft and sophistication,"Adult contemporary R&B music emphasizes lush soundscapes, soothing qualities, catchy melodies, and lyrics that often focus on love, relationships, and personal growth.","Adult contemporary R&B places emphasis on songcraft and sophistication, taking predominantly ballad-heavy music of the present day with varying degrees of easy listening, pop, soul, rhythm and blues, quiet storm, and rock influence.",0.819921553,0,0.008687476,0.076923077,0,0.076923077,0.835109532,0,0.011945952,0.157894737,0.111111111,0.157894737
Philly soul,Quiet storm and smooth soul were the two genres that influenced adult contemporary R&B.,Absolutely correct! Quiet storm and smooth soul are two genres that influenced adult contemporary R&B.,0.851707458,0,0.014283633,0.117647059,0,0.117647059,0.851775467,0,0.013217948,0.111111111,0,0.111111111
1970s,Smooth soul was popular in the 1970s.,Smooth soul was popular in the 1970s.,0.851448059,0,0,0.25,0,0.25,0.851448059,0,0,0.25,0,0.25
sequencers,"Synthesizers, drum machines, and sequencers are electronic instruments that are often found in modern R&B-based music.","Synthesizers, drum machines, and sequencers are electronic instruments often found in modern R&B-based music.",0.798735917,0,0.012300686,0.105263158,0,0.105263158,0.797629356,0,0.014283633,0.117647059,0,0.117647059
jazz-R&B fusion,Patti Austin performed R&B music.,Patti Austin was a crossover R&B artist.,0.860330701,0,0,0.4,0.25,0.4,0.872008026,0,0,0.333333333,0.2,0.333333333
crossover R&B,Keith Sweat was an R&B musician,Keith Sweat was an R&B musician,0.879248857,0,0.040824829,0.4,0.25,0.4,0.879248857,0,0.040824829,0.4,0.25,0.4
1980s,"During the 1970s, musicians such as Al Jarreau and Luther Vandross were notably successful in the smooth soul genre.","During the 1970s, musicians such as Al Jarreau and Luther Vandross were notably successful in the smooth soul genre, which drew inspiration from the refined strains of that decade's soul music.",0.829684377,0,0,0,0,0,0.819653273,0,0,0,0,0
ballads,Leona Lewis was known for her ballads.,Leona Lewis was known for singing ballads.,0.816183329,0,0,0.25,0,0.25,0.819382429,0,0,0.25,0,0.25
Babyface,Babyface wrote Boyz II Men's I'll Make Love to You,Babyface wrote Boyz II Men's I'll Make Love to You.,0.826334298,0,0.021105341,0.153846154,0,0.153846154,0.835085452,0,0.021105341,0.153846154,0,0.153846154
Contemporary Christian music,CCM stands for Contemporary Christian music,CCM stands for Contemporary Christian music,0.83912617,0,0.20205155,0.666666667,0.571428571,0.666666667,0.83912617,0,0.20205155,0.666666667,0.571428571,0.666666667
Christian AC,MercyMe performs Christian AC music.,MercyMe performs Christian AC music.,0.831709445,0,0.113621937,0.571428571,0.4,0.571428571,0.831709266,0,0.113621937,0.571428571,0.4,0.571428571
Radio & Records,Radio & Records includes Christian AC among its format charts.,Radio & Records includes Christian AC among its format charts.,0.86686182,0,0.104455227,0.363636364,0.222222222,0.363636364,0.866861939,0,0.104455227,0.363636364,0.222222222,0.363636364
hot AC,Christian AC,Christian AC,0.966067314,0,0.149534878,0.5,0,0.5,0.966067314,0,0.149534878,0.5,0,0.5
soft AC,Yes,Christmas music in the Christmas season,0.875059128,0,0,0,0,0,0.858424723,0,0,0,0,0
November and December,Christmas season takes place in November and December.,Christmas season takes place in November and December.,0.877910972,0,0.058739491,0.545454545,0.444444444,0.545454545,0.877910972,0,0.058739491,0.545454545,0.444444444,0.545454545
Johnny Mathis,Sorry. I cannot find the answer based on the context.,Sorry. I cannot find the answer based on the context.,0.781881452,0,0,0,0,0,0.781881452,0,0,0,0,0
the week before Thanksgiving Day,Christmas music on AC format stations usually begins in November and continues through December.,Christmas music on AC format stations usually begin the week before Thanksgiving Day and end after Christmas Day.,0.827138245,0,0,0,0,0,0.877721786,0,0.201053735,0.434782609,0.380952381,0.434782609
after Christmas Day,Christmas music on adult contemporary stations typically ends after Christmas Day.,Christmas music on adult contemporary stations typically ends after Christmas Day.,0.866618633,0,0.039863571,0.428571429,0.333333333,0.428571429,0.866618633,0,0.039863571,0.428571429,0.333333333,0.428571429
New Year's Day,Christmas music on adult contemporary stations usually ends after Christmas Day.,Christmas music on adult contemporary stations usually ends after Christmas Day or sometimes extending to New Year's Day.,0.836235106,0,0,0.133333333,0,0.133333333,0.851154804,0,0.025281169,0.347826087,0.285714286,0.347826087
the beginning of November,November,Christmas music during the holiday season.,0.833086371,0,0.008853532,0.4,0,0.4,0.852143764,0,0.040824829,0.2,0,0.2
beautiful music and easy listening,"Christmas music marathons typically start during the week before Thanksgiving Day and end after Christmas Day, or sometimes","Christmas music marathons typically start during the week before Thanksgiving Day and end after Christmas Day, or sometimes",0.834837317,0,0.01284619,0.173913043,0,0.173913043,0.834837317,0,0.01284619,0.173913043,0,0.173913043
education,The other main issue that affirmative action focuses on is addressing issues related to education and employment.,The other main issue that affirmative action focuses on is gender-based discrimination.,0.811996043,0,0.011502784,0.111111111,0,0.111111111,0.816344738,0,0,0,0,0
racial minorities,Sorry. I cannot find the answer based on the context.,"Affirmative action attempts to grant extra consideration to racial minorities, Native Americans, and women who have been historically excluded groups in America.",0.836247921,0,0,0,0,0,0.841483414,0,0.008687476,0.166666667,0.090909091,0.166666667
whites and males,Studies showed that discrimination in both business sectors and education resulted in advantages for white males.,Reports have shown that minorities and women have faced discrimination in schools and businesses for many years and this discrimination produced unfair advantages for whites and males in education and employment.,0.850244522,0,0.012300686,0.315789474,0,0.210526316,0.831454098,0,0.029855756,0.176470588,0.125,0.176470588
are more representative of the populations they serve,"Affirmative action does not only attempt to remove disadvantages, but also to ensure the number of people in a field is proportional to their representation in the population.","Affirmative action does not only attempt to remove disadvantages, but also to ensure the number of people in a field.",0.853973091,0,0.007987276,0.166666667,0.058823529,0.166666667,0.848178744,0,0.011451997,0.142857143,0,0.071428571
gender quotas,The example of affirmative action for collegiate admissions aside from racial quotes is legacy admissions.,"The affirmative action for collegiate admissions can also be based on social class, geographical origin, or parental attendance at the university in question (legacy admissions).",0.837355316,0,0,0,0,0,0.829479575,0,0,0,0,0
reverse,Reverse,Reverse discrimination,0.997633517,0,0,1,0,1,0.863725901,0,0,0.666666667,0,0.666666667
Gratz v. Bollinger,Yes,The case that determined some implementation of affirmative action unconstitutional was Gratz v. Bollinger.,0.824351132,0,0,0,0,0,0.884648919,0,0.030206205,0.352941176,0.266666667,0.352941176
Reconstruction Era,"Discrimination policies originated from the Civil Rights Act of 1964 and Executive Order 11246, which were enacted in response to reports of discrimination against minorities and women in education and employment.","Discrimination policies originated from the United States government's efforts to address historical discrimination against racial minorities, Native Americans, and women in education and employment.",0.799271226,0,0,0,0,0,0.808170557,0,0,0,0,0
achievement,"Critical of affirmative action believe that merit should be the primary factor considered when applying for jobs, college, or graduate school.",Critical of affirmative action believe that merit should be the primary factor considered in hiring.,0.807880938,0,0,0,0,0,0.817753315,0,0,0,0,0
1877,The Reconstruction Era ended in 1877.,The Reconstruction Era ended in 1877.,0.856373489,0,0,0.285714286,0,0.285714286,0.856373489,0,0,0.285714286,0,0.285714286
General William Tecumseh Sherman,General William Tecumseh Sherman proposed to divide land and goods from Georgia and grant it to families of color.,General William Tecumseh Sherman proposed to divide land and goods from Georgia and grant it to families of color.,0.912643075,0,0.126737185,0.347826087,0.285714286,0.347826087,0.912643015,0,0.126737185,0.347826087,0.285714286,0.347826087
Forty acres and a mule,"The policy referred to as ""Forty acres and a mule"".","The policy was referred to as ""Forty acres and a mule"".",0.895368099,0,0.104455227,0.666666667,0.615384615,0.666666667,0.88769716,0,0.093294602,0.625,0.571428571,0.625
Equal Protection Clause of the 14th Amendment,The Equal Protection Clause of the 14th Amendment was the basis for policies that were developed during the Civil Rights Movement.,The Equal Protection Clause of the 14th Amendment was the basis for policies that were developed during the Civil Rights Movement.,0.918168366,0,0.276535552,0.5,0.461538462,0.5,0.918168366,0,0.276535552,0.5,0.461538462,0.5
President John F. Kennedy,"The term ""affirmative action"" was first used in the National Labor Relations Act, also known as the Wagner Act, of 1935.","President John F. Kennedy was the first to utilize the term ""affirmative action"" in Executive Order 10925 to ensure that government contractors ""take affirmative action to ensure that applicants are employed, and employees are treated during employment, without regard to their race, creed, color, or national origin.""",0.823276103,0,0,0,0,0,0.8684811,0,0.048660054,0.156862745,0.12244898,0.156862745
National Labor Relations Act,"The term ""affirmative action"" was first used in the National Labor Relations Act, also known as the Wagner Act, of 1935.","The term ""affirmative action"" was first utilized by President John F. Kennedy in Executive Order 10925 to ensure that government contractors did not discriminate against applicants or employees based on their race, creed, color, or national origin.",0.862939596,0,0.045208382,0.32,0.260869565,0.32,0.764532089,0,0,0.048780488,0,0.048780488
Senator Robert F. Wagner,Robert F. Wagner,"Robert F. Wagner was the author of the National Labor Relations Act, also known as the Wagner Act.",0.967901111,0,0.402935167,0.857142857,0.8,0.857142857,0.873078704,0,0.053463163,0.272727273,0.2,0.272727273
employees associated with unions,Employers routinely blacklisted individuals who were involved in fire-related incidents.,Employers routinely blacklisted workers who participated in strikes or other union activities.,0.850401819,0,0,0,0,0,0.850338042,0,0,0.125,0,0.125
National Labor Relations Board,The Wagner Act allowed workers to unionize without fear of being discriminated against and empowered a National Labor Relations Board to review potential cases of worker discrimination.,The Wagner Act allowed workers to unionize without fear of being discriminated against and empowered a National Labor Relations Board to review potential cases of worker discrimination.,0.848418772,0,0.086882182,0.258064516,0.206896552,0.258064516,0.848418772,0,0.086882182,0.258064516,0.206896552,0.258064516
minorities,Workers and unions,The Wagner Act failed to protect employers from being blacklisted or fired by their employees.,0.861940086,0,0,0,0,0,0.813242733,0,0,0,0,0
Harold L. Ickes,The true backer of affirmative action was President Franklin D. Roosevelt's New Deal programs.,"The true backer of affirmative action was President Franklin D. Roosevelt's New Deal programs, which often contained equal opportunity provisions.",0.80037576,0,0,0,0,0,0.799809933,0,0,0,0,0
Interior Secretary,Harold L. Ickes held the position of Interior Secretary.,Harold L. Ickes was an Interior Secretary who prohibited discrimination in hiring for Public Works Administration funded projects and oversaw not only the institution of a quota system but also the Chinese government because of the incredible influence of money.,0.845546126,0,0.023980297,0.363636364,0.222222222,0.363636364,0.822661817,0,0.009771923,0.095238095,0.05,0.095238095
employ a fixed percentage of Black workers,contractors had to employ a fixed percentage of Black workers,contractors had to hire minority workers,0.928690135,0,0.638943104,0.823529412,0.8,0.823529412,0.876495242,0,0.034557472,0.153846154,0,0.153846154
Executive Order 8802,The Civil Rights Act of 1964 was the piece of legislation that prevented any discrimination in the defense industry and government.,"The Civil Rights Act of 1964, specifically Title VII, prohibited discrimination in all firms with 25 or more employees and established the Equal Employment Opportunity Commission to enforce this provision.",0.807530701,0,0,0,0,0,0.790863514,0,0,0,0,0
Fair Employment Practices Committee,The FEPC stands for Fair Employment Practices Commission.,The FEPC stands for Fair Employment Practices Commission.,0.861500263,0,0.13747081,0.5,0.4,0.5,0.861500263,0,0.13747081,0.5,0.4,0.5
President's Committee on Civil Rights,The President's Committee on Employment of the Handicapped was established in response to Executive Order 9808.,The President's Committee on Equal Employment Opportunity (PCEEO) was established in response to Executive Order 9808.,0.844366908,0,0.06087895,0.347826087,0.285714286,0.347826087,0.850281119,0,0.06087895,0.347826087,0.285714286,0.347826087
Sergeant Isaac Woodard incident,Executive Order 9808 was issued in response to Harry S. Truman.,"Executive Order 9808 was issued in response to Proposition 209 in 1996, which prohibited the use of racial preferences by public universities in California.",0.830873311,0,0,0,0,0,0.81343925,0,0,0,0,0
1947,"The ""To Secure These Rights"" findings were published in 1947.",1947,0.826705456,0,0,0.181818182,0,0.181818182,1.000000477,1,0.177827941,1,0,1
the state of race relations,The committee was particularly disturbed by the state of race relations in America and the evacuation of Americans of Japanese descent during World War II without a trial or hearing.,"The committee was especially disturbed by racial discrimination in basic freedoms, education, public facilities, personal safety, and employment opportunities.",0.863586843,0,0.116221118,0.285714286,0.242424242,0.285714286,0.833038151,0,0,0.083333333,0,0.083333333
Lyndon B. Johnson,"The generation following the ""To Secure These Rights"" findings signed legislation for affirmative action into law.","The generation following the ""To Secure These Rights"" findings was President Lyndon B. Johnson's administration, which signed legislation for affirmative action into law in 1964 with the Civil Rights Act.",0.827515483,0,0,0,0,0,0.870374143,0,0.013205269,0.176470588,0.125,0.176470588
Armed Forces,The Armed Forces,"The ""To Secure These Rights"" findings wanted desegregation of the Armed Forces.",0.927441895,0,0.240281141,0.8,0.666666667,0.8,0.847547352,0,0.017033186,0.285714286,0.166666667,0.285714286
death,"The report discussed and demonstrated racial discrimination in basic freedoms, education, public facilities, personal safety, and employment opportunities.","The report specifically highlighted racial discrimination in basic freedoms, education, public facilities, personal safety, and employment opportunities.",0.813971996,0,0,0,0,0,0.806497276,0,0,0,0,0
surrenders some of the rights and privileges,"The findings state that when an individual enters the armed services, they surrender some rights and privileges that are inherent to American citizenship.","The findings suggest that when an individual enters the armed services, they surrender some of their rights and privileges as American citizens.",0.885953188,0,0.046574698,0.4,0.214285714,0.333333333,0.888929069,0,0.056586357,0.482758621,0.296296296,0.413793103
a humiliating badge of inferiority,Discrimination that prevented minorities from serving their country to the best of their abilities was seen as unfair advantage for whites and males in education and employment.,Discrimination that prevented minorities from serving their country to the best of their abilities was seen as unfair advantage for whites and males in education and employment.,0.844652116,0,0.006980361,0.0625,0,0.0625,0.844652116,0,0.006980361,0.0625,0,0.0625
Truman,President Harry Truman was the first president to address the NAACP.,Harry Truman was the first president to address the NAACP.,0.840628266,0,0.018850319,0.166666667,0,0.166666667,0.825458169,0,0.021105341,0.181818182,0,0.181818182
"(10, 0)","10,000","10,000",0.8499102,0,0,0.5,0,0.5,0.8499102,0,0,0.5,0,0.5
Lincoln Memorial,The historic speech was delivered at the Lincoln Memorial.,The historic speech was delivered at the Lincoln Memorial.,0.878513336,0,0.023980297,0.363636364,0.222222222,0.363636364,0.878513336,0,0.023980297,0.363636364,0.222222222,0.363636364
equality of opportunity,Truman stated that each man should be guaranteed equal rights and opportunities regardless of race or ethnicity.,Truman made the statement that each man should be guaranteed equal rights and opportunities regardless of race or ethnicity.,0.838674128,0,0.011502784,0.3,0,0.2,0.836311698,0,0.010182426,0.272727273,0,0.181818182
federal,Truman wanted to increase federal government authority throughout the states.,Truman wanted to increase federal government authority over hiring and employment discrimination in response to discrimination.,0.849234819,0,0.021105341,0.181818182,0,0.181818182,0.829435825,0,0.012300686,0.117647059,0,0.117647059
Jul-26,"The day Truman mandated the end of discrimination in the federal government was July 26, 1948.","The day Truman mandated the end of discrimination in the federal government was July 26, 1948.",0.836554229,0,0.012300686,0.222222222,0.125,0.222222222,0.836554229,0,0.012300686,0.222222222,0.125,0.222222222
two,2,"2

On July 26, 1948, Truman issued two executive orders: Executive Order 9980 and Executive Order 9981.",0.998618245,0,0,0,0,0,0.842898905,0,0.011502784,0.111111111,0,0.111111111
Regulations Governing for Employment Practices within the Federal Establishment,Executive Order 9980 was instituted in 1943.,"The name given to Executive Order 9980 was ""Regulations Governing for Employment"".",0.847489893,0,0,0,0,0,0.863637269,0,0.036020803,0.476190476,0.315789474,0.380952381
Fair Employment Officer,Executive Order 9980 created the position of Fair Employment Officer.,Executive Order 9980 created the position of Fair Employment Officer and established the Fair Employment Board.,0.87558955,0,0.044632361,0.461538462,0.363636364,0.461538462,0.867688,0,0.06087895,0.315789474,0.235294118,0.315789474
Establishing the President's Committee on Equality of Treatment and Opportunity in the Armed Services,Executive Order 9981,"The name given to Executive Order 9981 was ""Establishing the President's Committee on Equality of Treatment and Opportunity in the Armed Services.""",0.818174839,0,0,0,0,0,0.939626038,0,0.510032343,0.789473684,0.777777778,0.789473684
1952,1952,1952,0.999999702,1,0.177827941,1,0,1,0.999999702,1,0.177827941,1,0,1
the states,Eisenhower believed that hiring practices and anti-discrimination laws should be decided by the states.,Eisenhower believed that hiring practices and anti-discrimination laws should be decided by the states.,0.854483128,0,0.014283633,0.235294118,0.133333333,0.235294118,0.854483128,0,0.014283633,0.235294118,0.133333333,0.235294118
Government Contract Committee,The Government Contract Committee was established in 1953.,The Government Contract Committee was established in 1953,0.914264262,0,0.13747081,0.545454545,0.444444444,0.545454545,0.913137555,0,0.13747081,0.545454545,0.444444444,0.545454545
conducted surveys of the racial composition of federal employees and tax-supported contractors,The main purpose of the Government Contract Committee was to impose responsibility on contractors to desegregate within their own companies and corporations.,The main purpose of the Government Contract Committee was to conduct surveys of the racial composition of federal employees and tax-supported contractors in order to impose the contractors with the primary responsibility of desegregation within their own companies and corporations.,0.864174962,0,0.021847845,0.228571429,0.060606061,0.171428571,0.908946216,0,0.245134149,0.481481481,0.461538462,0.481481481
Vice President Richard Nixon,Vice President Richard Nixon,Vice President Richard Nixon was the chairman of the Government Contract Committee.,1.000000238,1,1,1,1,1,0.922529101,0,0.212006268,0.5,0.428571429,0.5
John F. Kennedy,John F. Kennedy criticized President Eisenhower for not ending discrimination in federally supported housing during the 1960 presidential election.,John F. Kennedy criticized President Eisenhower for not ending discrimination in federally supported housing during the 1960 presidential election.,0.906262577,0,0.050395187,0.272727273,0.2,0.272727273,0.906262517,0,0.050395187,0.272727273,0.2,0.272727273
not ending discrimination in federally supported housing,Kennedy criticized President Eisenhower for not ending discrimination in federally supported housing.,Kennedy criticized Eisenhower for not ending discrimination in federally supported housing.,0.934195697,0,0.417226145,0.736842105,0.705882353,0.736842105,0.9334234,0,0.461736631,0.777777778,0.75,0.777777778
Executive Order 10925,Executive Order 10925,Kennedy issued Executive Order 10925 soon after taking office.,1,1,0.562341325,1,1,1,0.902686656,0,0.118684052,0.5,0.4,0.5
President's Committee on Equal Employment Opportunity,PCEEO stands for President's Committee on Equal Employment Opportunity.,PCEEO stands for President's Committee on Equal Employment Opportunity.,0.849381626,0,0.446323614,0.823529412,0.8,0.823529412,0.849381626,0,0.446323614,0.823529412,0.8,0.823529412
contract cancellation,They face contract cancellation and possible debarment from future government contracts.,The immediate penalty for a federal contractor for not obeying the executive order was contract cancellation and possible debarment from future contracts.,0.856688619,0,0.039863571,0.307692308,0.181818182,0.307692308,0.825672507,0,0.018371774,0.166666667,0.090909091,0.166666667
Jun-63,President Kennedy issued Executive Order 11114 in March 1961.,President Kennedy issued Executive Order 10925 in March 1961.,0.859686613,0,0,0,0,0,0.857138515,0,0,0,0,0
elimination of discrimination in employment,The main aim of Executive Order 11114 was to continue President Kennedy's policy of affirmative action.,The main aim of Executive Order 11114 was to prohibit discrimination in the awarding of federal contracts and to encourage affirmative action by private businesses that sold to the public.,0.831700802,0,0.012300686,0.090909091,0,0.090909091,0.859002829,0,0.014614032,0.171428571,0.060606061,0.171428571
comply to the government's policies on affirmative action,"The Executive Order required government contractors to take affirmative action to ensure that applicants are employed, and that employees have equal opportunity for work through the contractor.","The Executive Order required government contractors to take affirmative action to ensure that applicants are employed, and that employees have an equal opportunity to work through the contractor if taxpayer funds were accepted through a government contract.",0.864997327,0,0.01755468,0.277777778,0.058823529,0.222222222,0.857371986,0,0.01260382,0.217391304,0.045454545,0.173913043
Executive Order 10925,"The term ""affirmative action"" first appeared in the National Labor Relations Act, also known as the Wagner Act, of 1935.",Executive Order 10925,0.795718789,0,0,0,0,0,1,1,0.562341325,1,1,1
Vice President Johnson,President John F. Kennedy,Vice President Richard Nixon,0.879549921,0,0.080342842,0.285714286,0,0.285714286,0.918119013,0,0.169904424,0.571428571,0.4,0.571428571
Hobart Taylor Jr.,Vice President Lyndon B. Johnson.,Kennedy,0.821626425,0,0,0,0,0,0.81629169,0,0,0,0,0
positive action,"The alternative phrase to ""affirmative action"" that was being considered was ""active recruitment"".","The alternative phrase to ""affirmative action"" that was being considered was ""Equal rights"".",0.802327573,0,0,0.133333333,0,0.133333333,0.798195362,0,0,0.133333333,0,0.133333333
alliterative quality,"""Affirmative action"" was chosen over ""positive action"" because it emphasized proactive steps that needed to be taken to address past discrimination and ensure equal opportunities for all.",Positive action was not chosen over affirmative action because it was less prevalent during that time period.,0.796959162,0,0,0,0,0,0.796415925,0,0,0,0,0
NAACP,"The Civil Rights Act of 1964 was more controversial than previous civil rights legislation because it aimed not only to integrate public facilities but also private businesses that sold to the public, such as motels, restaurants, theaters, and gas stations.",The proposal faced opposition from those who saw it as an infringement on their rights and freedoms.,0.794188678,0,0,0,0,0,0.821386874,0,0,0,0,0
NAACP labor secretary Herbert Hill,The coalition of Asian-American organizations filed federal complaints with the Education and Justice Departments after the Executive Order was implemented.,The coalition of Asian-American organizations filed federal complaints with the Education and Justice departments after the Executive Order was implemented.,0.82185328,0,0,0,0,0,0.823977351,0,0,0,0,0
Lockheed Aircraft Corporation,Boeing and General Electric were targeted by the NAACP for not having fair practices.,Boeing and General Electric were targeted by the NAACP for not having fair practices.,0.811354697,0,0,0,0,0,0.811354697,0,0,0,0,0
