question,answers,modified_rag_retrieved_context,modified_rag_refined_answer,modified_rag_case,modified_rag_retrieval_time,modified_rag_generation_time,modified_rag_total_time,traditional_rag_retrieved_context,traditional_rag_refined_answer,traditional_rag_retrieval_time,traditional_rag_generation_time,traditional_rag_total_time
How many whites were given the possibility of immediate promotion as a result of taking the controversial test?,17,"whites and two Hispanics the possibility of immediate promotion. Although 23% of those taking the
test were African American, none scored high enough to qualify. Because of the possibility the tests
were biased in violation of Title VII of the Civil Rights Act, no candidates were promoted pending
outcome of the controversy. In a split 5-4 vote, the Supreme Court ruled that New Haven had
Affirmative_action_in_the_United_States
United States Supreme Court in 2009. The case concerns White and Hispanic firefighters in New
Haven, Connecticut, who upon passing their test for promotions to management were denied the
promotions, allegedly because of a discriminatory or at least questionable test. The test gave 17
subject to substantial criticism. A group including some of the country\'s lead statistical
methodologists told the Supreme Court that Sander\'s analyses were sufficiently flawed that the
Affirmative_action_in_the_United_States
Court would be wise to ignore them entirely. At the same time many scholars have found that",17,Traditional RAG,2.68,2.97,5.66,"whites and two Hispanics the possibility of immediate promotion. Although 23% of those taking the
test were African American, none scored high enough to qualify. Because of the possibility the tests
were biased in violation of Title VII of the Civil Rights Act, no candidates were promoted pending
outcome of the controversy. In a split 5-4 vote, the Supreme Court ruled that New Haven had

Affirmative_action_in_the_United_States
United States Supreme Court in 2009. The case concerns White and Hispanic firefighters in New
Haven, Connecticut, who upon passing their test for promotions to management were denied the
promotions, allegedly because of a discriminatory or at least questionable test. The test gave 17

subject to substantial criticism. A group including some of the country\'s lead statistical
methodologists told the Supreme Court that Sander\'s analyses were sufficiently flawed that the
Affirmative_action_in_the_United_States
Court would be wise to ignore them entirely. At the same time many scholars have found that",5,2.64,2.51,5.14
What percentage of those people taking the test were African American?,23,"Answer: Twenty-three percent.
Score: 0.92
Answer: The text doesn't say, but it mentions that 23% of those taking the test were African American.
Score: 0.73
Answer: According to the text, only 12.2% of African Americans had completed a bachelor's degree in 1990.
Score: 0.65",23%,Q-A Index,2.73,2.99,5.72,"whites and two Hispanics the possibility of immediate promotion. Although 23% of those taking the
test were African American, none scored high enough to qualify. Because of the possibility the tests
were biased in violation of Title VII of the Civil Rights Act, no candidates were promoted pending
outcome of the controversy. In a split 5-4 vote, the Supreme Court ruled that New Haven had

Americans experienced a 12% increase between 1975-1990. In 1990, they constituted 9% of the
population, but only received 3.1% of the bachelors\'s degrees awarded. At times when it is
favorable to lawmakers, Latinos were considered ""white"" by the Jim Crow laws during the
Reconstruction. In other cases, according to Paul Brest, Latinos have been classified as an inferior

would not be capable of attending, this discourages them and tends to engender failure and high
dropout rates for these students. For example, about half of black college students rank in the
bottom 20 percent of their classes, black law school graduates are four times as likely to fail bar
exams as are whites, and interracial friendships are more likely to form among students with",23%,2.67,3.18,5.85
What was the final vote count for the Supreme Court over the issue?,05-Apr,"the Supreme Court. It is a renewed complaint that the U.S. Court of Appeals for the Fifth Circuit got
the issue wrong - on the second try as well as on the first. The Supreme Court agreed in June 2015
to hear the case a second time. It will likely be decided by June 2016. In May 2015, a coalition of
more than 60 Asian-American organizations filed federal complaints with the Education and Justice
whites and two Hispanics the possibility of immediate promotion. Although 23% of those taking the
test were African American, none scored high enough to qualify. Because of the possibility the tests
were biased in violation of Title VII of the Civil Rights Act, no candidates were promoted pending
outcome of the controversy. In a split 5-4 vote, the Supreme Court ruled that New Haven had
she was denied acceptance to the University of Texas based on her race, and thus, her right to
equal protection according to the 14th Amendment was violated. The Supreme Court heard oral
arguments in Fisher on October 10, 2012, and rendered an ambiguous ruling in 2013 that sent the
case back to the lower court, stipulating only that the University must demonstrate that it could not",The final vote count for the Supreme Court case was 5-4.,Traditional RAG,2.69,4.9,7.59,"the Supreme Court. It is a renewed complaint that the U.S. Court of Appeals for the Fifth Circuit got
the issue wrong - on the second try as well as on the first. The Supreme Court agreed in June 2015
to hear the case a second time. It will likely be decided by June 2016. In May 2015, a coalition of
more than 60 Asian-American organizations filed federal complaints with the Education and Justice

whites and two Hispanics the possibility of immediate promotion. Although 23% of those taking the
test were African American, none scored high enough to qualify. Because of the possibility the tests
were biased in violation of Title VII of the Civil Rights Act, no candidates were promoted pending
outcome of the controversy. In a split 5-4 vote, the Supreme Court ruled that New Haven had

she was denied acceptance to the University of Texas based on her race, and thus, her right to
equal protection according to the 14th Amendment was violated. The Supreme Court heard oral
arguments in Fisher on October 10, 2012, and rendered an ambiguous ruling in 2013 that sent the
case back to the lower court, stipulating only that the University must demonstrate that it could not",The final vote count for the Supreme Court case mentioned in the context was a split 5-4 vote.,2.66,5.39,8.06
Which President declared that discrimination is contrary to the Constitutional principles of the United States?,Kennedy,"Americans. And again I mean all Americans."":40 President Kennedy stated in Executive Order
10925 that ""discrimination because of race, creed, color, or national origin is contrary to the
Constitutional principles and policies of the United States""; that ""it is the plain and positive obligation
of the United States Government to promote and ensure equal opportunity for all qualified persons,
Congress. He pledged that the bill required no quotas, just nondiscrimination. Doing so, he
convinced many pro-business Republicans, including Senate Minority Leader Everett Dirksen (IL) to
support Title VII.:78-80 Some commentators have defined reverse discrimination as a policy or
practice in which members of a majority are discriminated against in favor of a historically
speech, he discussed the history in the United States that brought the policy into fruition: slavery,
Affirmative_action_in_the_United_States
Jim Crow, and segregation. Clinton also mentioned a point similar to President Lyndon B.
Johnson\'s ""Freedom is not Enough"" speech, and declared that just outlawing discrimination in the","President Kennedy stated in Executive Order 10925 that ""discrimination because of race, creed, color, or national origin is contrary to the Constitutional principles and policies of the United States"".",Traditional RAG,2.69,8.21,10.9,"Americans. And again I mean all Americans."":40 President Kennedy stated in Executive Order
10925 that ""discrimination because of race, creed, color, or national origin is contrary to the
Constitutional principles and policies of the United States""; that ""it is the plain and positive obligation
of the United States Government to promote and ensure equal opportunity for all qualified persons,

Congress. He pledged that the bill required no quotas, just nondiscrimination. Doing so, he
convinced many pro-business Republicans, including Senate Minority Leader Everett Dirksen (IL) to
support Title VII.:78-80 Some commentators have defined reverse discrimination as a policy or
practice in which members of a majority are discriminated against in favor of a historically

speech, he discussed the history in the United States that brought the policy into fruition: slavery,
Affirmative_action_in_the_United_States
Jim Crow, and segregation. Clinton also mentioned a point similar to President Lyndon B.
Johnson\'s ""Freedom is not Enough"" speech, and declared that just outlawing discrimination in the","President Kennedy stated in Executive Order 10925 that ""discrimination because of race, creed, color, or national origin is contrary to the Constitutional principles and policies of the United States.""",2.67,7.73,10.4
Which piece of legislation did President Kennedy use to claim that discrimination was a violation of the Constitution?,Executive Order 10925,"Americans. And again I mean all Americans."":40 President Kennedy stated in Executive Order
10925 that ""discrimination because of race, creed, color, or national origin is contrary to the
Constitutional principles and policies of the United States""; that ""it is the plain and positive obligation
of the United States Government to promote and ensure equal opportunity for all qualified persons,
from the present effects stemming from past discrimination. In 1961, President John F. Kennedy
became the first to utilize the term ""affirmative action"" in Executive Order 10925 to ensure that
government contractors ""take affirmative action to ensure that applicants are employed, and
employees are treated during employment, without regard to their race, creed, color, or national
Kennedy issued Executive Order 10925 in March 1961, requiring government contractors to
""consider and recommend additional affirmative steps which should be taken by executive
departments and agencies to realize more fully the national policy of nondiscrimination. The
contractor will take affirmative action to ensure that applicants are employed, and that employees",President Kennedy used Executive Order 10925 to claim that discrimination was a violation of the Constitution.,Traditional RAG,2.79,5.46,8.24,"Americans. And again I mean all Americans."":40 President Kennedy stated in Executive Order
10925 that ""discrimination because of race, creed, color, or national origin is contrary to the
Constitutional principles and policies of the United States""; that ""it is the plain and positive obligation
of the United States Government to promote and ensure equal opportunity for all qualified persons,

from the present effects stemming from past discrimination. In 1961, President John F. Kennedy
became the first to utilize the term ""affirmative action"" in Executive Order 10925 to ensure that
government contractors ""take affirmative action to ensure that applicants are employed, and
employees are treated during employment, without regard to their race, creed, color, or national

Kennedy issued Executive Order 10925 in March 1961, requiring government contractors to
""consider and recommend additional affirmative steps which should be taken by executive
departments and agencies to realize more fully the national policy of nondiscrimination. The
contractor will take affirmative action to ensure that applicants are employed, and that employees",President Kennedy used Executive Order 10925 to claim that discrimination was a violation of the Constitution.,3.2,4.97,8.17
What were the affected industries in terms of regulation as a result of Executive Order 10925?,Federal Government and on government contracts,"Kennedy issued Executive Order 10925 in March 1961, requiring government contractors to
""consider and recommend additional affirmative steps which should be taken by executive
departments and agencies to realize more fully the national policy of nondiscrimination. The
contractor will take affirmative action to ensure that applicants are employed, and that employees
Affirmative_action_in_the_United_States
government.:22 The executive order promoted the idea that if taxpayer funds were accepted
through a government contract, then all taxpayers should have an equal opportunity to work through
the contractor.:23-4 To enforce this idea, Roosevelt created the Fair Employment Practices
from the present effects stemming from past discrimination. In 1961, President John F. Kennedy
became the first to utilize the term ""affirmative action"" in Executive Order 10925 to ensure that
government contractors ""take affirmative action to ensure that applicants are employed, and
employees are treated during employment, without regard to their race, creed, color, or national",The affected industries in terms of regulation as a result of Executive Order 10925 were government contractors and executive departments and agencies.,Traditional RAG,2.72,6.26,8.98,"Kennedy issued Executive Order 10925 in March 1961, requiring government contractors to
""consider and recommend additional affirmative steps which should be taken by executive
departments and agencies to realize more fully the national policy of nondiscrimination. The
contractor will take affirmative action to ensure that applicants are employed, and that employees

Affirmative_action_in_the_United_States
government.:22 The executive order promoted the idea that if taxpayer funds were accepted
through a government contract, then all taxpayers should have an equal opportunity to work through
the contractor.:23-4 To enforce this idea, Roosevelt created the Fair Employment Practices

from the present effects stemming from past discrimination. In 1961, President John F. Kennedy
became the first to utilize the term ""affirmative action"" in Executive Order 10925 to ensure that
government contractors ""take affirmative action to ensure that applicants are employed, and
employees are treated during employment, without regard to their race, creed, color, or national",The affected industries in terms of regulation as a result of Executive Order 10925 were government contractors and executive departments and agencies.,2.79,6.35,9.14
"Other than being race and gender based, what did believers in affirmative action also feel that the system discriminated against?",class,"specifically granting special consideration to racial minorities, Native Americans, and women who
have been historically excluded groups in America. Reports have shown that minorities and women
have faced discrimination in schools and businesses for many years and this discrimination
produced unfair advantages for whites and males in education and employment. The impetus
its economy, security, and national defense through the most efficient and effective utilization of all
available manpower"". Proponents of affirmative action argue that by nature the system is not only
Affirmative_action_in_the_United_States
race based, but also class and gender based. To eliminate two of its key components would
inescapable fact that historic inequalities exist in America, they believe the policy is much more fair
than one in which these circumstances are not taken into account. Furthermore, those in favor of
affirmative action see it as an effort towards inclusion rather than a discriminatory practice. ""Job
discrimination is grounded in prejudice and exclusion, whereas affirmative action is an effort to",Believers in affirmative action felt that the system discriminated against minorities and women who have been historically excluded groups in America.,Traditional RAG,2.75,6.35,9.1,"specifically granting special consideration to racial minorities, Native Americans, and women who
have been historically excluded groups in America. Reports have shown that minorities and women
have faced discrimination in schools and businesses for many years and this discrimination
produced unfair advantages for whites and males in education and employment. The impetus

its economy, security, and national defense through the most efficient and effective utilization of all
available manpower"". Proponents of affirmative action argue that by nature the system is not only
Affirmative_action_in_the_United_States
race based, but also class and gender based. To eliminate two of its key components would

inescapable fact that historic inequalities exist in America, they believe the policy is much more fair
than one in which these circumstances are not taken into account. Furthermore, those in favor of
affirmative action see it as an effort towards inclusion rather than a discriminatory practice. ""Job
discrimination is grounded in prejudice and exclusion, whereas affirmative action is an effort to",Believers in affirmative action felt that the system also discriminated against minorities and women who have been historically excluded groups in America.,3.11,5.96,9.07
Which organization believed in the class based argument?,African American Policy Forum,"undermine the purpose of the entire system. The African American Policy Forum believes that the
class based argument is based on the idea that non-poor minorities do not experience racial and
gender based discrimination. The AAPF believes that ""Race-conscious affirmative action remains
necessary to address race-based obstacles that block the path to success of countless people of
controversy surrounding affirmative action's effectiveness is based on the idea of class inequality.
Opponents of racial affirmative action argue that the program actually benefits middle- and
upper-class African Americans and Hispanic Americans at the expense of lower-class European
Americans and Asian Americans. This argument supports the idea of class-based affirmative action.
color of all classes"". The groups goes on to say that affirmative action is responsible for creating the
African American middle class, so it does not make sense to say that the system only benefits the
middle and upper classes. In the beginning, racial classifications that identified race were inherently",The African American Policy Forum believed in the class-based argument.,Traditional RAG,2.76,4.35,7.11,"undermine the purpose of the entire system. The African American Policy Forum believes that the
class based argument is based on the idea that non-poor minorities do not experience racial and
gender based discrimination. The AAPF believes that ""Race-conscious affirmative action remains
necessary to address race-based obstacles that block the path to success of countless people of

controversy surrounding affirmative action's effectiveness is based on the idea of class inequality.
Opponents of racial affirmative action argue that the program actually benefits middle- and
upper-class African Americans and Hispanic Americans at the expense of lower-class European
Americans and Asian Americans. This argument supports the idea of class-based affirmative action.

color of all classes"". The groups goes on to say that affirmative action is responsible for creating the
African American middle class, so it does not make sense to say that the system only benefits the
middle and upper classes. In the beginning, racial classifications that identified race were inherently",The African American Policy Forum believed in the class based argument.,2.73,3.93,6.66
What group of people did the AAPF claim affirmative action created?,African American middle class,"Answer: The AAPF's ultimate goal is to achieve a society in which all individuals have equal opportunities and are treated with dignity and respect, regardless of their race or ethnicity.
Score: 0.82
Answer: Race-conscious affirmative action refers to policies that actively consider race as a factor in admissions or hiring decisions, with the goal of promoting diversity and addressing past discrimination.
Score: 0.80
Answer: The AAPF does not believe that non-race-conscious affirmative action policies are sufficient to address the persistent racial disparities in education and employment.
Score: 0.80","The AAPF claimed that affirmative action created a society where all individuals have equal opportunities and are treated with dignity and respect, regardless of their race or ethnicity.",Q-A Index,2.67,7.05,9.72,"undermine the purpose of the entire system. The African American Policy Forum believes that the
class based argument is based on the idea that non-poor minorities do not experience racial and
gender based discrimination. The AAPF believes that ""Race-conscious affirmative action remains
necessary to address race-based obstacles that block the path to success of countless people of

accomplishments of people who belong to a group it's supposed to help, therefore making
affirmative action counter-productive. Furthermore, opponents of affirmative action claim that these
policies dehumanize individuals and applicants to jobs or school are judged as members of a group
without consideration for the individual person. FDR\'s New Deal programs often contained equal

triumphs that have marked this as America\'s Century -...none is more inspiring, if incomplete, than
our pursuit of racial justice. In the year 2000, according to a study by American Association of
University Professors (AAUP), affirmative action promoted diversity within colleges and universities.
This has been shown to have positive effects on the educational outcomes and experiences of",The African American Policy Forum (AAPF) believes that affirmative action was created for non-poor minorities who experience racial and gender-based discrimination.,3.22,6.78,10.01
What does the AAPF believe the foundation for the class based argument is?,non-poor minorities do not experience racial and gender based discrimination,"undermine the purpose of the entire system. The African American Policy Forum believes that the
class based argument is based on the idea that non-poor minorities do not experience racial and
gender based discrimination. The AAPF believes that ""Race-conscious affirmative action remains
necessary to address race-based obstacles that block the path to success of countless people of
controversy surrounding affirmative action's effectiveness is based on the idea of class inequality.
Opponents of racial affirmative action argue that the program actually benefits middle- and
upper-class African Americans and Hispanic Americans at the expense of lower-class European
Americans and Asian Americans. This argument supports the idea of class-based affirmative action.
color of all classes"". The groups goes on to say that affirmative action is responsible for creating the
African American middle class, so it does not make sense to say that the system only benefits the
middle and upper classes. In the beginning, racial classifications that identified race were inherently",The African American Policy Forum believes that the class based argument is based on the idea that non-poor minorities do not experience racial and gender based discrimination.,Traditional RAG,2.97,7.01,9.98,"undermine the purpose of the entire system. The African American Policy Forum believes that the
class based argument is based on the idea that non-poor minorities do not experience racial and
gender based discrimination. The AAPF believes that ""Race-conscious affirmative action remains
necessary to address race-based obstacles that block the path to success of countless people of

controversy surrounding affirmative action's effectiveness is based on the idea of class inequality.
Opponents of racial affirmative action argue that the program actually benefits middle- and
upper-class African Americans and Hispanic Americans at the expense of lower-class European
Americans and Asian Americans. This argument supports the idea of class-based affirmative action.

color of all classes"". The groups goes on to say that affirmative action is responsible for creating the
African American middle class, so it does not make sense to say that the system only benefits the
middle and upper classes. In the beginning, racial classifications that identified race were inherently",The AAPF believes the foundation for the class-based argument is based on the idea that non-poor minorities do not experience racial and gender-based discrimination.,3.15,6.53,9.68
What does the AAPF believe the goal of affirmative action should be?,to address race-based obstacles that block the path to success,"Answer: The AAPF's ultimate goal is to achieve a society in which all individuals have equal opportunities and are treated with dignity and respect, regardless of their race or ethnicity.
Score: 0.90
Answer: According to the AAPF, race-based obstacles block the path to success of countless people of color of all classes.
Score: 0.86
Answer: The AAPF believes that race-based obstacles continue to exist and that race-conscious affirmative action is necessary to address these obstacles and promote diversity in education and employment.
Score: 0.85",The AAPF believes that the goal of affirmative action should be to achieve a society where all individuals have equal opportunities and are treated with dignity and respect regardless of their race or ethnicity.,Q-A Index,2.67,7.94,10.62,"undermine the purpose of the entire system. The African American Policy Forum believes that the
class based argument is based on the idea that non-poor minorities do not experience racial and
gender based discrimination. The AAPF believes that ""Race-conscious affirmative action remains
necessary to address race-based obstacles that block the path to success of countless people of

its economy, security, and national defense through the most efficient and effective utilization of all
available manpower"". Proponents of affirmative action argue that by nature the system is not only
Affirmative_action_in_the_United_States
race based, but also class and gender based. To eliminate two of its key components would

not need it, mostly middle class minorities. Additionally, she argues that affirmative action carries
with it a stigma that can create feelings of self-doubt and entitlement in minorities. Eastland believes
that affirmative action is a great risk that only sometimes pays off, and that without it we would be",The AAPF believes that the goal of affirmative action should be to address race-based obstacles that block the path to success for countless people of color.,3.11,6.89,9.99
What major event preceded the growth of the divide in education between White and Black Americans?,end of World War II,"Americans was widened by Dwight D. Eisenhower\'s GI Bill. This piece of legislation paved the way
for white GIs to attend college. Despite their veteran status returning black servicemen were not
afforded loans at the same rate as whites. Furthermore, at the time of its introduction, segregation
was still the law of the land barring blacks from the best institutions. Overall, ""Nearly 8 million
America's poor is disproportionately made up of people of color, so class-based affirmative action
would disproportionately help people of color. This would eliminate the need for race-based
affirmative action as well as reducing any disproportionate benefits for middle- and upper-class
people of color. Following the end of World War II the educational gap between White and Black
triumphs that have marked this as America\'s Century -...none is more inspiring, if incomplete, than
our pursuit of racial justice. In the year 2000, according to a study by American Association of
University Professors (AAUP), affirmative action promoted diversity within colleges and universities.
This has been shown to have positive effects on the educational outcomes and experiences of",Dwight D. Eisenhower's GI Bill preceded the growth of the divide in education between White and Black Americans by widening it.,Traditional RAG,2.65,6.2,8.85,"Americans was widened by Dwight D. Eisenhower\'s GI Bill. This piece of legislation paved the way
for white GIs to attend college. Despite their veteran status returning black servicemen were not
afforded loans at the same rate as whites. Furthermore, at the time of its introduction, segregation
was still the law of the land barring blacks from the best institutions. Overall, ""Nearly 8 million

America's poor is disproportionately made up of people of color, so class-based affirmative action
would disproportionately help people of color. This would eliminate the need for race-based
affirmative action as well as reducing any disproportionate benefits for middle- and upper-class
people of color. Following the end of World War II the educational gap between White and Black

triumphs that have marked this as America\'s Century -...none is more inspiring, if incomplete, than
our pursuit of racial justice. In the year 2000, according to a study by American Association of
University Professors (AAUP), affirmative action promoted diversity within colleges and universities.
This has been shown to have positive effects on the educational outcomes and experiences of","The GI Bill, which was introduced by Dwight D. Eisenhower, preceded the growth of the divide in education between White and Black Americans.",3.05,6.11,9.17
What was considered to be a major cause of the increase in educational gap?,Dwight D. Eisenhower's GI Bill,"Americans was widened by Dwight D. Eisenhower\'s GI Bill. This piece of legislation paved the way
for white GIs to attend college. Despite their veteran status returning black servicemen were not
afforded loans at the same rate as whites. Furthermore, at the time of its introduction, segregation
was still the law of the land barring blacks from the best institutions. Overall, ""Nearly 8 million
America's poor is disproportionately made up of people of color, so class-based affirmative action
would disproportionately help people of color. This would eliminate the need for race-based
affirmative action as well as reducing any disproportionate benefits for middle- and upper-class
people of color. Following the end of World War II the educational gap between White and Black
and discrimination in the forms of not having the ability to become naturalized citizens. They also
Affirmative_action_in_the_United_States
struggled with many of the same school segregation laws that African Americans faced. Particularly,
during World War II, Japanese Americans were interned in camps and lost their property, homes,",The GI Bill of 1944 was considered to be a major cause of the increase in educational gap between white and black Americans.,Traditional RAG,2.63,6.51,9.14,"Americans was widened by Dwight D. Eisenhower\'s GI Bill. This piece of legislation paved the way
for white GIs to attend college. Despite their veteran status returning black servicemen were not
afforded loans at the same rate as whites. Furthermore, at the time of its introduction, segregation
was still the law of the land barring blacks from the best institutions. Overall, ""Nearly 8 million

America's poor is disproportionately made up of people of color, so class-based affirmative action
would disproportionately help people of color. This would eliminate the need for race-based
affirmative action as well as reducing any disproportionate benefits for middle- and upper-class
people of color. Following the end of World War II the educational gap between White and Black

and discrimination in the forms of not having the ability to become naturalized citizens. They also
Affirmative_action_in_the_United_States
struggled with many of the same school segregation laws that African Americans faced. Particularly,
during World War II, Japanese Americans were interned in camps and lost their property, homes,",Dwight D. Eisenhower's GI Bill was considered to be a major cause of the increase in educational gap between white and black Americans due to its lack of support for black veterans and segregation laws that barred blacks from the best institutions.,3.1,8.74,11.84
What did returning black veterans not receive?,loans at the same rate as whites,"segregated Army, since ""any discrimination whichprevents members of the minority groups from
rendering full military service in defense of their country is for them a humiliating badge of
inferiority."" The report called for an end to ""all discrimination and segregation based on race, color,
creed, or national origins inall branches of the Armed Services."":38-39 A study in 2007 by Mark
servicemen and servicewomen were educated under the provisions of the GI Bill after World War II.
But for blacks, higher educational opportunities were so few that the promise of the GI Bill went
largely unfulfilled. In the US, a prominent form of racial preferences relates to access to education,
particularly admission to universities and other forms of higher education. Race, ethnicity, native
Americans was widened by Dwight D. Eisenhower\'s GI Bill. This piece of legislation paved the way
for white GIs to attend college. Despite their veteran status returning black servicemen were not
afforded loans at the same rate as whites. Furthermore, at the time of its introduction, segregation
was still the law of the land barring blacks from the best institutions. Overall, ""Nearly 8 million",Return black veterans did not receive loans at the same rate as whites and were barred from attending the best colleges due to segregation laws.,Traditional RAG,2.69,6.53,9.22,"segregated Army, since ""any discrimination whichprevents members of the minority groups from
rendering full military service in defense of their country is for them a humiliating badge of
inferiority."" The report called for an end to ""all discrimination and segregation based on race, color,
creed, or national origins inall branches of the Armed Services."":38-39 A study in 2007 by Mark

servicemen and servicewomen were educated under the provisions of the GI Bill after World War II.
But for blacks, higher educational opportunities were so few that the promise of the GI Bill went
largely unfulfilled. In the US, a prominent form of racial preferences relates to access to education,
particularly admission to universities and other forms of higher education. Race, ethnicity, native

Americans was widened by Dwight D. Eisenhower\'s GI Bill. This piece of legislation paved the way
for white GIs to attend college. Despite their veteran status returning black servicemen were not
afforded loans at the same rate as whites. Furthermore, at the time of its introduction, segregation
was still the law of the land barring blacks from the best institutions. Overall, ""Nearly 8 million",Return black veterans did not receive loans at the same rate as whites and were barred from attending the best colleges due to segregation laws.,2.76,6.78,9.54
How many servicemen and women were educated as a result of the GI Bill?,Nearly 8 million,"Answer: Nearly 8 million.
Score: 0.93
Answer: The number of black servicemen and servicewomen who were able to take advantage of the GI Bill was limited due to the lack of opportunities available to them.
Score: 0.80
Answer: The GI Bill affected the access to education for returning black servicemen, who were not afforded loans at the same rate as whites.
Score: 0.77",8 million,Q-A Index,2.84,3.16,6.01,"servicemen and servicewomen were educated under the provisions of the GI Bill after World War II.
But for blacks, higher educational opportunities were so few that the promise of the GI Bill went
largely unfulfilled. In the US, a prominent form of racial preferences relates to access to education,
particularly admission to universities and other forms of higher education. Race, ethnicity, native

Americans was widened by Dwight D. Eisenhower\'s GI Bill. This piece of legislation paved the way
for white GIs to attend college. Despite their veteran status returning black servicemen were not
afforded loans at the same rate as whites. Furthermore, at the time of its introduction, segregation
was still the law of the land barring blacks from the best institutions. Overall, ""Nearly 8 million

well. This order, albeit heavily worked up as a significant piece of legislation, in reality carried little
actual power. The scope was limited to a couple hundred defense contractors, leaving nearly $7.5
billion in federal grants and loans unsupervised.:60 Early Asian immigrants experienced prejudice",8 million,2.87,3.14,6.01
What opportunities were few for black veterans?,higher educational,"Americans was widened by Dwight D. Eisenhower\'s GI Bill. This piece of legislation paved the way
for white GIs to attend college. Despite their veteran status returning black servicemen were not
afforded loans at the same rate as whites. Furthermore, at the time of its introduction, segregation
was still the law of the land barring blacks from the best institutions. Overall, ""Nearly 8 million
servicemen and servicewomen were educated under the provisions of the GI Bill after World War II.
But for blacks, higher educational opportunities were so few that the promise of the GI Bill went
largely unfulfilled. In the US, a prominent form of racial preferences relates to access to education,
particularly admission to universities and other forms of higher education. Race, ethnicity, native
including Boeing and General Electric, to sign similar voluntary agreements indicating plans for
progress. However, these plans were just that, voluntary. Many corporations in the South, still
afflicted with Jim Crow laws, largely ignored the federal recommendations.:63-64 Ideas for
affirmative action came as early as the Reconstruction Era (1865-1877) in which a former slave","The GI Bill was introduced by Dwight D. Eisenhower after World War II to help white GIs attend college and receive loans. However, black veterans were not afforded these same opportunities due to segregation laws at the time.",Traditional RAG,3.06,8.92,11.98,"Americans was widened by Dwight D. Eisenhower\'s GI Bill. This piece of legislation paved the way
for white GIs to attend college. Despite their veteran status returning black servicemen were not
afforded loans at the same rate as whites. Furthermore, at the time of its introduction, segregation
was still the law of the land barring blacks from the best institutions. Overall, ""Nearly 8 million

servicemen and servicewomen were educated under the provisions of the GI Bill after World War II.
But for blacks, higher educational opportunities were so few that the promise of the GI Bill went
largely unfulfilled. In the US, a prominent form of racial preferences relates to access to education,
particularly admission to universities and other forms of higher education. Race, ethnicity, native

including Boeing and General Electric, to sign similar voluntary agreements indicating plans for
progress. However, these plans were just that, voluntary. Many corporations in the South, still
afflicted with Jim Crow laws, largely ignored the federal recommendations.:63-64 Ideas for
affirmative action came as early as the Reconstruction Era (1865-1877) in which a former slave",The GI Bill did not afford black veterans loans at the same rate as whites due to segregation laws that barred them from the best institutions.,2.8,6.11,8.91
"Who conducted a study about the origins of ""Latinos""?",Dr. Paul Brest,"comprising Central and South America. In 1991, Mexican Americans, Puerto Ricans, and Cuban
Americans made up 80% of the Latino population in the United States. Latinos are disadvantaged
compared to White Americans and are more likely to live in poverty. They are the least well
educated major ethnic group and suffered a 3% drop in high school completion rate while African
race and a threat to white purity. Latinos have encountered considerable discrimination in areas
such as employment, housing, and education. Brest finds that stereotypes continue to be largely
negative and many perceive Latinos as ""lazy, unproductive, and on the dole."" Furthermore,
Affirmative_action_in_the_United_States
Americans experienced a 12% increase between 1975-1990. In 1990, they constituted 9% of the
population, but only received 3.1% of the bachelors\'s degrees awarded. At times when it is
favorable to lawmakers, Latinos were considered ""white"" by the Jim Crow laws during the
Reconstruction. In other cases, according to Paul Brest, Latinos have been classified as an inferior","Jorge I. Dominguez conducted a study about the origins of ""Latinos.""",Traditional RAG,3.37,5.02,8.39,"comprising Central and South America. In 1991, Mexican Americans, Puerto Ricans, and Cuban
Americans made up 80% of the Latino population in the United States. Latinos are disadvantaged
compared to White Americans and are more likely to live in poverty. They are the least well
educated major ethnic group and suffered a 3% drop in high school completion rate while African

race and a threat to white purity. Latinos have encountered considerable discrimination in areas
such as employment, housing, and education. Brest finds that stereotypes continue to be largely
negative and many perceive Latinos as ""lazy, unproductive, and on the dole."" Furthermore,
Affirmative_action_in_the_United_States

Americans experienced a 12% increase between 1975-1990. In 1990, they constituted 9% of the
population, but only received 3.1% of the bachelors\'s degrees awarded. At times when it is
favorable to lawmakers, Latinos were considered ""white"" by the Jim Crow laws during the
Reconstruction. In other cases, according to Paul Brest, Latinos have been classified as an inferior","Mexican Americans, Puerto Ricans, and Cuban",2.67,3.53,6.2
