chunk,question,answer
157,چین کے قومی پرچم اور ہانگ کانگ کے خصوصی انتظامی علاقوں کے پرچم کب لہرائے گئے؟,چین کے قومی پرچم اور ہانگ کانگ کے خصوصی انتظامی علاقوں کے پرچم آدھے ستون پر لہرائے گئے ہیں۔
157,چین میں قومی سوگ کا اعلان کس چیز کے لیے کیا گیا؟,قومی سوگ کا اعلان ایک ریاستی رہنما کی موت کے علاوہ کسی اور چیز کے لیے کیا گیا۔
157,19 مئی 2008 کو چین میں لوگوں نے کتنی دیر خاموشی اختیار کی؟,لوگوں نے تین منٹ کے لیے خاموشی اختیار کی۔
157,خاموشی کے دوران چین کے عوام نے کیا کیا؟,"خاموشی کے دوران عوام خاموش کھڑے رہے جبکہ فضائی دفاع، پولیس اور فائر سائرن، اور گاڑیوں، بحری جہازوں اور ٹرینوں کے سائرن بج رہے تھے۔"
157,حکام نے نیشنل نیچرل ریزرو سے کیا رابطہ کیا؟,"حکام نے نیشنل نیچرل ریزرو سے رابطہ کرنے میں قاصر رہے، جو تقریباً 280 وشال پانڈا کا گھر ہے۔"
158,وزارت خارجہ نے زلزلے کے بعد کیا کہا؟,وزارت خارجہ نے کہا کہ زلزلے سے متاثرہ علاقے میں وولونگ پانڈا کا دورہ کرنے والے برطانوی سیاحوں کا ایک گروپ محفوظ اور بغیر کسی چوٹ کے واپس آ گیا۔
158,زلزلے کے بعد پانڈا ریزرو میں کیا صورتحال تھی؟,"زلزلے کے بعد پانڈا ریزرو میں ایک بڑی تعداد میں فلاح و بہبود نامعلوم رہی، جبکہ زلزلے سے ریزرو کے پانچ سیکیورٹی گارڈ ہلاک ہوگئے۔"
158,زلزلے کے بعد ریزرو میں کتنے پانڈا زخمی ہوئے؟,زلزلے کے بعد ریزرو میں دو پانڈا زخمی پائے گئے تھے۔
158,زلزلے کے بعد لاپتہ پانڈا کی تلاش کی کیا صورتحال تھی؟,زلزلے کے بعد لاپتہ ہونے والے دو دیگر بالغ پانڈا کی تلاش جاری تھی۔
158,2008 میں ایک پانڈا کی کیا حالت تھی؟,"2008 تک ایک پانڈا اب بھی لاپتہ تھا، جبکہ لاپتہ پانڈا کے بارے میں معلوم ہوا کہ وہ ایک احاطے کے ملنے کے نیچے مردہ پایا گیا تھا۔"
159,پانڈا کیپر اور دیگر کارکنوں نے پانڈا کی باقیات کو کہاں رکھا؟,پانڈا کی باقیات کو ایک چھوٹی لکڑی کے خانہ میں رکھا گیا اور اس نسل کے مرکز کے باہر دفن کردیا گیا۔
159,اسکول کی ہلاکتوں کی تفصیلات کب سے دستیاب ہیں؟,اسکول کی ہلاکتوں کی تفصیلات دسمبر 2008 کے بعد سے رضا کاروں کے ذریعے غیر سرکاری تحقیقات کے تحت ہیں۔
159,زلزلے میں ہلاک ہونے والے طلباء کی سرکاری تعداد کیا تھی؟,"زلزلے میں 5,335 طلباء ہلاک ہوئے اور مزید 546 بچے معذور ہوئے۔"
159,چینی حکومت نے ہلاک ہونے والے طلباء کے والدین کے لیے کیا اعلان کیا؟,"چینی حکومت نے اعلان کیا کہ والدین جنہوں نے اپنے اکلوتے بچوں کو کھو دیا، انہیں ہلاک ہونے والوں کی امداد فراہم کی جائے گی۔"
159,زلزلے کے بعد چینی حکومت نے کس قسم کے علاج کی پیشکش کی؟,چینی حکومت نے زرخیزی کلینک سے مفت علاج حاصل کرنے کے لیے وزاکنوم اور نیو لیگیشنز کو ریورس کرنے کے لیے اقدامات کیے۔
160,بہت سی ویب سائٹس نے اپنے ہوم پیجز کو کس رنگ میں تبدیل کیا؟,بہت سی ویب سائٹس نے اپنے ہوم پیجز کو سیاہ اور سفید میں تبدیل کیا۔
160,سینا ڈاٹ کام اور سوہو نے اپنے ہوم پیجز کو کس چیز تک محدود کر دیا؟,سینا ڈاٹ کام اور سوہو نے اپنے ہوم پیجز کو خبروں تک محدود کر دیا۔
160,چینی ویڈیو شیئرنگ ویب سائٹس نے کس قسم کے مواد کو دکھایا؟,چینی ویڈیو شیئرنگ ویب سائٹس نے زلزلے کی فوٹیج اور نیوز رپورٹس دکھائیں۔
160,ایم ایس این کا چینی ورژن کس موضوع پر بینر اشتہارات دکھاتا ہے؟,ایم ایس این کا چینی ورژن زلزلے اور امدادی کوششوں کے بارے میں بینر اشتہارات دکھاتا ہے۔
160,خاموشی کے لمحات کے بعد کیا ہوا؟,"خاموشی کے لمحات کے بعد، تیانمن اسکوائر میں ہجوم نے خود بخود مختلف نعریں لگائیں۔"
161,زلزلے میں ہلاک ہونے والے طلباء کی سرکاری تعداد کیا ہے؟,زلزلے میں ہلاک ہونے والے طلباء کی سرکاری تعداد 7 ہے۔
161,زلزلے کے بعد کتنے طلباء ہلاک ہوئے اور کتنے بچے معذور ہوئے؟,"زلزلے کے بعد 5,335 طلباء ہلاک ہوئے اور مزید 546 بچے معذور ہوئے۔"
161,چینی حکومت نے والدین کے لیے کیا اعلان کیا؟,"چینی حکومت نے اعلان کیا کہ والدین جنہوں نے اپنے اکلوتے بچوں کو کھو دیا، انہیں خاندانی منصوبہ بندی کے حکام کے ذریعے انجماد وازکینک اور نیوبل لیگییشن کو ریورس کرنے کے لیے زرخیزی کے کلینک سے مفت علاج حاصل کرنے کی سہولت دی جائے گی۔"
161,زلزلے کی تاریخ کیا تھی اور یہ کب ہوا؟,زلزلہ 30 اگست 2008 کو جنوبی سیچوان میں ہوا۔
161,زلزلے کے بارے میں مزید تفصیلات کہاں دیکھنے کے لیے کہا گیا ہے؟,زلزلے کے بارے میں مزید تفصیلات 2008 پن جی ہوان زلزلے دیکھنے کے لیے کہا گیا ہے۔
162,سیچوان میں صحت کی صورتحال کیسی ہے؟,سیچوان میں صحت کی دیکھ بھال ناقص ہے۔
162,نائیب وزیر صحت نے عوامی صحت کے نظام کے بارے میں کیا کہا؟,نائیب وزیر صحت نے کہا کہ چین میں عوامی صحت کی دیکھ بھال کا نظام ناکافی ہے۔
162,حکومت کو متاثرین کی صحت کی دیکھ بھال کے حوالے سے کیا ذمہ داری نبھانی چاہیے؟,حکومت کو متاثرین کو طبی علاج فراہم کرنے کی ذمہ داری لینی چاہیے۔
162,زلزلے کے متاثرہ علاقے میں کون سا ادارہ رابطہ کرنے میں قاصر تھا؟,"ابتدائی طور پر، عہدیدار ولونگ نیشنل نیچر ریزرو سے رابطہ کرنے میں قاصر تھے۔"
162,برطانوی سیاحوں کے گروپ کے بارے میں کیا معلومات فراہم کی گئی ہیں؟,برطانوی سیاحوں کا ایک گروپ محفوظ اور بغیر کسی چوٹ کے چنگدو واپس آ گیا۔
163,پڑوسی پانڈا ریزرو میں کیا صورتحال ہے؟,پڑوسی پانڈا ریزرو میں پانڈا کی ایک بڑی تعداد کی فلاح و بہبود نامعلوم رہی۔
163,زلزلے کے بعد ریزرو میں کیا ہوا؟,زلزلے کے بعد ریزرو کے پانچ سیکیورٹی گارڈ ہلاک ہوگئے۔
163, 20 مئی تک ریزرو میں کتنے پانڈا زخمی پائے گئے تھے؟,20 مئی تک ریزرو میں دو پانڈا زخمی پائے گئے تھے۔
163,لاپتہ پانڈا کی تلاش کب تک جاری رہی؟,لاپتہ پانڈا کی تلاش 28 مئی 2008 تک جاری رہی۔
163,پانڈا کی باقیات کو کہاں رکھا گیا؟,پانڈا کی باقیات کو ایک چھوٹی لکڑی کے خانہ میں رکھا گیا اور اس کو نسل کے مرکز کے باہر دفن کردیا گیا۔
164,سانگزاؤ میں کون سا ماڈل اسکول کا پرنسپل ہے؟,سانگزاؤ ماڈل اسکول کا پرنسپل کاؤنسی میں سب سے بڑے میں سے ایک ہے۔
164,زلزلے کے وقت کتنے طلباء کی زندگیوں کو بچایا گیا؟,"زلزلے کے وقت 2,323 طلباء کی زندگیوں کو بچایا گیا۔"
164,کاؤنسی ایجوکیشن ڈیپارٹمنٹ سے اسکول نے کتنی رقم حاصل کی؟,"اسکول نے کاؤنسی ایجوکیشن ڈیپارٹمنٹ سے 400,000 امریکی ڈالر سے زیادہ حاصل کی۔"
164,اسکول کی بحالی کے دوران کتنے سال کی مدت تھی؟,اسکول کی بحالی کے دوران تین سال کی مدت تھی۔
164,اسکول کے کنکریٹ فرش کو محفوظ کرنے کے لیے کیا استعمال کیا گیا؟,اسکول کے کنکریٹ فرش کو محفوظ کرنے کے لیے کنکریٹ ستونوں اور بالکونی ریلنگ کو وسیع اور مضبوط کرنے کے ساتھ استعمال کیا گیا۔
165,چینی پراسیکیوٹرز نے مئی کے زلزلے کے دوران کتنے اسکولوں کی سرکاری تحقیقات میں شمولیت اختیار کی؟,چینی پراسیکیوٹرز نے مئی کے زلزلے کے دوران دس اسکولوں کی سرکاری تحقیقات میں شمولیت اختیار کی۔
165,زلزلے کے بعد چینی اسکولوں میں کیا کیا گیا؟,زلزلے کے بعد چینی اسکولوں میں حفاظتی چیک کیے گئے۔
165,زلزلے کے دوران ابتدائی تحقیقات کا آغاز کب کیا جائے گا؟,ابتدائی تحقیقات کا آغاز زلزلے کے بعد کیا جائے گا۔
165,زلزلہ دان یوجی یاگی نے زلزلے کے بارے میں کیا بتایا؟,یوجی یاگی نے بتایا کہ زلزلہ دو مراحل میں ہوا۔
165,زلزلے کے دوران پہلا مرحلہ کتنی دیر تک جاری رہا؟,زلزلے کا پہلا مرحلہ تقریباً سات منٹ جاری رہا۔
166,زلزلہ کب تک جاری رہا؟,زلزلہ تقریباً دو منٹ تک جاری رہا۔
166,1995 کے عظیم ہانشین زلزلے میں کتنے افراد ہلاک ہوئے؟,"اس زلزلے میں 6,000 سے زیادہ افراد ہلاک ہوئے۔"
166,زلزلے کی شدت میں اضافے کی کیا وجہ تھی؟,زلزلے کے مرکز کی کم گہرائی اور آبادی کی کثافت نے زلزلے کی شدت کو بہت بڑھا دیا۔
166,میئانگ شہر میں کتنے افراد دفن ہوئے؟,"میئانگ شہر میں کم از کم 1,700 افراد دفن ہوئے۔"
166,صوبہ سیچوان میں کتنے اسکول کی عمارتیں گر گئیں؟,"صوبہ سیچوان میں کم از کم 7,000 اسکول کی عمارتیں گر گئیں۔"
167,ہانوانگ اسکول میں کتنے طلباء دفن ہوئے؟,ہانوانگ اسکول میں مزید 700 طلباء دفن ہوئے۔
167,جوئیوان ایلیمنٹری اسکول میں کتنے طلباء اور عملہ ہلاک ہوئے؟,جوئیوان ایلیمنٹری اسکول میں کم از کم 600 طلباء اور عملہ ہلاک ہوئے۔
167,بیچوان مڈل اسکول میں کتنے بچے ہلاک ہوئے؟,"بیچوان مڈل اسکول میں 1,300 تک بچے اور اساتذہ ہلاک ہوئے۔"
167,زلزلے کے ابتدائی ماڈلز نے کتنی لمبائی اور کتنی گہرائی کی غلطی کی؟,زلزلے کے ابتدائی ماڈلز نے تقریباً 240 کلومیٹر لمبی اور 20 کلومیٹر گہری غلطی کی۔
167,یوس جی ایس کے ماہرین نے کب خبردار کیا کہ ایک بڑے زلزلے کا خطرہ ہے؟,یوس جی ایس کے ماہرین نے 20 مئی کو خبردار کیا کہ اگلے ہفتوں یا مہینوں میں ایک بڑے زلزلے کا خطرہ ہے۔
168,سرکاری نیوز ایجنسی سنہوا نے کیا اقدام کیا؟,سرکاری نیوز ایجنسی سنہوا نے تباہی کی بحالی کے اندھوں مقامات کو تلاش کرنے کے لیے ایک آن لائن بچاؤ کی درخواست مرکز قائم کیا۔
168,بچاؤ کے ہیلی کیپٹروں کو کس علاقے میں دشواری کا سامنا کرنا پڑا؟,بچاؤ کے ہیلی کیپٹروں کو وینچوان میں زلزلے کے مرکز کے علاقے میں دشواری کا سامنا کرنا پڑا۔
168,طلب علم نے کیا تجویز دی؟,ایک طلب علم نے آن لائن لینڈنگ کی جگہ تجویز کی اور اسی ہیلی کیپٹروں کے لیے پہلی لینڈنگ کی جگہ کے طور پر منتخب کیا گیا۔
168,متاثرین اور انخلاء کے لیے رابطہ کی معلومات کو ذخیرہ کرنے میں کیا مدد کی گئی؟,رضا کاروں نے متاثرین اور انخلاء کے لیے رابطہ کی معلومات کو ذخیرہ کرنے میں مدد کے لیے کئی ویب سائٹس بھی قائم کیں۔
168,زلزلے کے دوران کتنے ناکافی طور پر انجینئر اسکول کے کمرے گر گئے؟,"مرکزی حکومت کا اندازہ ہے کہ زلزلے کے دوران 7,000 سے زیادہ ناکافی طور پر انجینئر اسکول کے کمرے گر گئے۔"
169,چینی شہریوں نے کس جملے کا ایجاد کیا ہے؟,"چینی شہریوں نے ""توفو ڈرنگس اسکول ہاؤسز"" (豆腐渣校舍) کا جملہ ایجاد کیا ہے۔"
169,توفو ڈرنگس اسکول ہاؤسز کا کیا مقصد ہے؟,توفو ڈرنگس اسکول ہاؤسز کا مقصد ناقص تعمیروں کے معیار اور مقدار کا مذاق اڑانا ہے۔
169,زلزلے کے دوران کیا ہوا تھا؟,زلزلے کے دوران بہت سے خاندانوں نے اپنے واحد بچے کو کھو دیا جب اسکول گر گیا۔
169,18 سال سے کم عمر کے بچوں کے لئے کیا قانونی متبادل فراہم کیا جاتا ہے؟,18 سال سے کم عمر کے نام نہاد غیر قانونی بچوں کو ان کے مردہ بہن بھائیوں کے لئے قانونی متبادل کے طور پر رجسٹر کیا جا سکتا ہے۔
169,اگر مردہ بچہ غیر قانونی تھا تو کیا ہوتا ہے؟,"اگر مردہ بچہ غیر قانونی تھا تو مزید جرمانے لاگو نہیں ہوں گے، لیکن پہلے سے عائد جرمانے کے لئے معاوضہ نہیں دیا جائے گا۔"
170,مشعل ریلے کا مرحلہ کب منعقد ہوا؟,مشعل ریلے کا مرحلہ 3 اپریل کو منعقد ہوا۔
170,مشعل ریلے کا آغاز کس کے ساتھ ہوا؟,مشعل ریلے کا آغاز سلطان احمد اسکوائر سے ہوا۔
170,ایغوروں نے کس چیز پر احتجاج کیا؟,ایغوروں نے سنکیا نگ میں رہنے والے اپنے ہم وطنوں کے ساتھ چینی سلوک پر احتجاج کیا۔
170,چین میں مشعل کے آغاز کے وقت کون سی کمیٹی نے خیرمقدم کیا؟,چین میں مشعل کے آغاز کے وقت پولیٹ بیورو اسٹینڈنگ کمیٹی نے خیرمقدم کیا۔
170,12 اپریل کو فرانسیسی ہائپر مارکیٹ کے بارے میں کیا ہوا؟,12 اپریل سے ہفتے کے آخر میں چینیوں میں موبائل ٹیکسٹنگ اور آن لائن چیٹ رومز کے ذریعے پہل کرنا شروع ہوا۔
171,بايیکاٹ کی وجوہات کیا تھیں؟,بايیکاٹ کی وجوہات میں فرانسیسی عیش و آرام کی اشیاء اور کاسمیٹک مصنوعات کو شامل کرنا تھا۔
171,چینی حکومت نے کس چیز کی کوشش کی؟,چینی حکومت نے سینسرشپ کے ذریعے صورت حال کو پرسکون کرنے کی کوشش کی۔
171,کارفور کے بايیکاٹ سے متعلق کیا اقدام کیا گیا؟,کارفور کے بايیکاٹ سے متعلق مقبول انٹرنیٹ فورم سوہو ڈاٹ کام پر تمام تبصرے حذف کر دیے گئے۔
171,فرانسیسی قوم پر کیا الزامات لگائے گئے؟,فرانسیسی قوم پر علیحدگی پسندی اور چینی مخالف نسل پرستی کا الزام لگایا گیا۔
171,فرانسیسی جھنڈے کے حوالے سے کیا واقعات پیش آئے؟,"کچھ لوگوں نے فرانسیسی جھنڈے جلائے، جبکہ کچھ نے نازی ازم کا حوالہ دیا۔"
172,کارفور بائیکاٹ کے خلاف مظاہرین نے کیا کیا؟,مظاہرین نے کارفور اسٹورز میں داخل ہو کر بڑے چینی جھنڈے اور پانی کی بوتلیں چلائیں۔
172,بی بی سی نے کیا بتایا؟,"بی بی سی نے بتایا کہ بیجنگ، ووہان، چنگڈاؤ میں سینکڑوں لوگوں نے مارا۔"
172,اولمپک شعلہ کب روشن کیا گیا؟,"اولمپک شعلہ 24 مارچ، 2008 کو یونان میں قدیم اولمپک کھیلوں کے مقام پر روشن کیا گیا تھا۔"
172,اداکارہ ماریہ نفپلیڈو کا کیا کردار تھا؟,اداکارہ ماریہ نفپلیڈو نے پہلی مشعل بردار کا کردار ادا کیا۔
172,تائیوانڈو میں چاندی کا تمغہ کس نے جیتا؟,تائیوانڈو میں چاندی کا تمغہ یونان کے الیکسینڈروس نکولائیڈس نے جیتا۔
173,حالیہ بدامنی کے بعد کون سی تنظیموں کے تین ممبروں نے سیکیورٹی کی خلاف ورزی کی؟,"حالیہ بدامنی کے بعد، رابرت مینارڈ سمیت رپورٹرز وائرڈ بارڈرز کے تین ممبروں نے سیکیورٹی کی خلاف ورزی کی۔"
173,30 مارچ 2008 کو ایتھنز میں کیا واقعہ پیش آیا؟,"30 مارچ 2008 کو ایتھنز میں، بیجنگ کھیلوں کے منتظمین کو یونانی اہلکاروں سے مشعل کے حوالے کرنے کی تقریبات کے دوران مظاہرین نے 'آزاد تبت' کا نعرہ لگایا اور بینر کھولے۔"
173,مظاہرین میں سے کتنے افراد کو پولیس نے حراست میں لیا؟,مظاہرین میں سے 10 افراد کو پولیس نے حراست میں لیا۔
173,احتجاج بین الاقوامی سطح پر کہاں جاری رہا؟,احتجاج بین الاقوامی سطح پر خاص طور پر نیپال میں جاری رہا۔
173,مارچ 2008 سے اگست 2008 تک کیا ہوا؟,مارچ 2008 سے اگست 2008 تک چھ بڑی مظاہرین کے ذریعے مشعل کو لے جانے کی کوشش کی گئی۔
174,بندرستے میں اصل میں کون سی شہر اور کون سی کانگ شامل ہیں؟,بندرستے میں اصل میں ہو چی منہ شہر اور ہانگ کانگ شامل ہیں۔
174,بیجنگ اور تائیپی کے درمیان کیا اختلاف تھا؟,بیجنگ اور تائیپی کے درمیان اختلاف یہ تھا کہ آیا یہ راستہ بین الاقوامی یا گھریلو حصہ تھا یا نہیں۔
174,چین کی حکومت نے تائیوان کے بارے میں کیا موقف اختیار کیا؟,چین کی حکومت نے تائیوان کے بارے میں موقف اختیار کیا کہ اس جگہ کو تائیوان کو ہانگ کانگ اور مکاؤ کے برابر رکھنے کے طور پر سمجھا جاسکتا ہے۔
174,بیجنگ آرگنائزنگ کمیٹی نے کیا کوشش کی؟,بیجنگ آرگنائزنگ کمیٹی نے مذاکرات جاری رکھنے کی کوشش کی۔
174,مذاکرات کا اختتام کب ہوا؟,"مذاکرات کا اختتام 21 ستمبر، 2007 کو آدھی رات کی آخری تاریخ تک ہوا۔"
175,تائیوان اور آبنائے کے دونوں اطراف نے کس چیز کو ختم کرنے کا فیصلہ کیا؟,تائیوان اور آبنائے کے دونوں اطراف نے تائی پیے ٹانگ کو ختم کرنے کا فیصلہ کیا۔
175,قازقستان میں پہلی اولمپک مشعل کب پہنچی تھی؟,قازقستان میں پہلی اولمپک مشعل 2 اپریل کو پہنچی تھی۔
175,قازقستان کے صدر کا نام کیا ہے؟,قازقستان کے صدر کا نام نور سلطان نذربایف ہے۔
175,اویغور کارکنوں کے ساتھ کیا ہوا تھا؟,اویغور کارکنوں کو گرفتار کیا گیا تھا اور کچھ کو چین واپس بھیج دیا گیا تھا۔
175,مغربی یورپ اور شمالی امریکہ میں کیا مسئلہ پیش آیا؟,مغربی یورپ اور شمالی امریکہ میں بے ترتیبی مشعل ریلے کی وجہ سے بین الاقوامی اولمپک کمیٹی نے صورت حال کو تنظیم کے لئے بیان کیا۔
176,اولمپک کھیلوں کے مقصد میں کب شرکت کے لیے چین کو منتخب کیا گیا؟,چین کو مارچ 2008 میں اولمپک مقصد میں طویل عرصے سے شرکت کے لیے نامزد کیا گیا تھا۔
176,چین کی ایئر لائن نے کتنے ممالک اور خطوں کے ذریعے سفر کیا؟,چین کی ایئر لائن نے 21 ممالک اور خطوں کے ذریعے سفر کیا۔
176,ایئر چین کے طیارے کا ماڈل کیا ہے جو اولمپک کھیلوں کے لیے استعمال ہوا؟,ایئر چین کا طیارہ ماڈل A330 ہے۔
176,چین کی ایئر لائن نے کتنے دنوں کی مدت کے لیے سفر کیا؟,چین کی ایئر لائن نے 130 دن کی مدت کے لیے سفر کیا۔
176,اولمپک کھیلوں کے دوران چین کے طیارے نے مجموعی طور پر کتنی کلومیٹر کا سفر کیا؟,"چین کے طیارے نے مجموعی طور پر 137,000 کلومیٹر (85,000 میل) کا سفر کیا۔"
177,"جنہوں نے اولمپک روح پر غور نہیں کیا، وہ کون ہیں؟",جنہوں نے اولمپک روح پر غور نہیں کیا وہ برطانیہ اور فرانس کے قوانین ہیں۔
177,احتجاجی مظاہرے کہاں ہوئے؟,احتجاجی مظاہرے بیرون ملک مقیم چینی اور چین کے شہریوں کے بڑے پیمانے پر ہوئے۔
177,فرانس میں حامیوں کی تعداد مظاہرین کی تعداد سے کیسی تھی؟,فرانس میں حامیوں کی تعداد مظاہرین کی تعداد سے بہت زیادہ تھی۔
177,کون سے ممالک میں مظاہرین نے حامیوں کو مغلوب کیا؟,"جاپان، جنوبی کوریا اور آسٹریلیا میں مظاہرین نے حامیوں کو مغلوب کیا۔"
177,"لاطینی امریکہ، افریقہ اور مغربی ایشیاء میں کیا صورتحال تھی؟","لاطینی امریکہ، افریقہ اور مغربی ایشیاء میں ریلیوں کے نعرے میں کوئی بڑا احتجاج نظر نہیں آیا۔"
178,شمالی امریکہ اور یورپی راستے کے ساتھ کیا مسائل ہیں جن پر احتجاج کیا گیا؟,"احتجاج کے مسائل میں تبتی آزادی، جانوروں کے حقوق، اور قانونی آن لائن جوئے کے حامیوں اور چین کے انسانی حقوق کے ریکارڈ کے خلاف احتجاج شامل ہیں۔"
178,مشعل ریلی کے نتیجے میں کیا ہوا؟,مشعل ریلی کے نتیجے میں ریلی کے کچھ مقامات پر تصادم ہوا۔
178,احتجاج کے دوران پیریس میں کیا ہوا؟,پیریس میں احتجاج کے دوران کئی بار مشعل کو بجھایا گیا اور ایک بار وہاں احتجاج بھی کیا گیا۔
178,اولمپک مشعل کس چیز پر مبنی ہے؟,اولمپک مشعل روایتی طوماروں پر مبنی ہے اور ایک روایتی چینی ڈیزائن کا استعمال کرتا ہے۔
178,مشعل کی اونچائی اور وزن کیا ہے؟,مشعل کی اونچائی 72 سینٹی میٹر ہے اور اس کا وزن 985 گرام ہے۔
179,مشعل کو کتنے کلومیٹر فی گھنٹہ ہواوں میں ڈیزائن کیا گیا ہے؟,مشعل کو 65 کلومیٹر فی گھنٹہ ہواوں میں ڈیزائن کیا گیا ہے۔
179,مشعل کو جلانے اور بجھانے کے لیے کیا استعمال کیا جاتا ہے؟,مشعل کو جلانے اور بجھانے کے لیے ایک اگی نیشن کلید کا استعمال کیا جاتا ہے۔
179,مشعل کا ایندھن کیا ہے؟,مشعل پروپین کے کنٹینرز سے ایندھن ہے۔
179,مشعل کو کتنے منٹ کے لیے روشنی فراہم کرتا ہے؟,ہر کین 15 منٹ کے لیے مشعل کو روشنی فراہم کرتا ہے۔
179,مشعل کے ڈیزائن میں کون سے عناصر شامل ہیں؟,مشعل کو پانچ عناصر کے روایتی چینی تصور کے حوالے سے ڈیزائن کیا گیا ہے۔
180,اداکارہ ماریہ نے کس کھیل کے دوران مشعل برداری کی؟,اداکارہ ماریہ نے 2004 کے موسم گرماء کے اولمپکس میں مشعل برداری کی۔
180,یونان کے الیگزیندروس نکولاڈس کو کس نے روشنی فراہم کی؟,یونان کے الیگزیندروس نکولاڈس کو چینی خواتین کے بریسٹ اسٹروک میں اولمپک چیمپیئن لو شو جوان نے روشنی فراہم کی۔
180,2008 میں بیجنگ کھیلوں کے دوران مظاہرین نے کیا نعرہ لگایا؟,مظاہرین نے 'آزاد تبت' کا نعرہ لگایا۔
180,عوامی جمہوریہ چین نے اولمپکس کو خراب کرنے کی کوشش کیوں کی؟,عوامی جمہوریہ چین نے اولمپکس کو خراب کرنے کی شرمناک کوشش قرار دی۔
180,2004 کے اولمپکس میں مشعل روشن کرنے کی تقریب کے دوران کس نے کوشش کی؟,2004 کے اولمپکس میں مشعل روشن کرنے کی تقریب کے دوران بیجنگ اولمپک آرگنائزنگ کمیٹی کے سربراہ لیو کی نے کوشش کی۔
181,کتنے مظاہرین کو پولیس حراست میں لیا گیا؟,تقریباً 10 مظاہرین کو پولیس حراست میں لیا گیا۔
181,احتجاج کہاں جاری تھا خاص طور پر؟,"احتجاج بین الاقوامی سطح پر جاری تھا، خاص طور پر نیپال میں۔"
181,2008 کے موسم گرماؤں کے اولمپکس کا موضوع کیا تھا؟,"2008 کے موسم گرماؤں کے اولمپکس کا موضوع ""ایک دنیا، ایک خواب"" تھا۔"
181,ریلے کے منصوبوں کا اعلان کب کیا گیا؟,"ریلے کے منصوبوں کا اعلان 26 اپریل، 2007 کو کیا گیا۔"
181,"1936 کے موسم گرماؤں کے اولمپکس سے پہلے، کس اولمپک مشعل ریلے کا سب سے طویل فاصلہ تھا؟","1936 کے موسم گرماؤں کے اولمپکس سے پہلے، کسی بھی اولمپک مشعل ریلے کا سب سے طویل فاصلہ تھا 137,000 کلومیٹر (85,000 میل)۔"
182,مشعل نے کس راستے کا دورہ کیا؟,مشعل نے بیجنگ سے چھ براعظمی راستوں کا دورہ کیا۔
182,مشعل کا سفر کس شہر میں ختم ہوا؟,مشعل کا سفر 31 مارچ کو بیجنگ پہنچ کر ختم ہوا۔
182,مشعل نے کس ادارے کے جواب میں مظاہروں کے دوران چینی لوگوں پر زور دیا؟,مشعل نے پیپلز ڈیلی میں ایک ادارتی مضمون کے جواب میں چینی لوگوں پر زور دیا۔
182,مشعل نے اپنی منزل پر پہنچنے سے پہلے کس ایونٹ میں شرکت کی؟,مشعل نے 24 مارچ کو یونان کے شہر اولمپیا میں اولمپک کھیلوں کی جائے پیدائش پر روشنی ہونے کے بعد ایڈھینز کے پاناتینائیکو اسٹیڈیم کا سفر کیا۔
182,مشعل نے اپنے سفر کے دوران کس سرحد پر چڑھائی کی؟,"مشعل نے نیپال اور تبت، چین کی سرحد پر ماونٹ ایورسٹ کی چوٹی پر چڑھائی کی۔"
183,مشعل نے کس روڈ کے ساتھ شہروں کا دورہ کیا؟,مشعل نے سلک روڈ کے ساتھ شہروں کا دورہ کیا۔
183,مشعل کا دورہ کہاں سے شروع ہوا اور کہاں ختم ہوا؟,مشعل کا دورہ استنبول میں 3 اپریل کو سلطان احمد اسکوائر سے شروع ہوا اور تکسم اسکوائر میں ختم ہوا۔
183,ایغوروں نے کس چیز کے خلاف احتجاج کیا؟,ایغوروں نے چینی سلوک کے خلاف احتجاج کیا۔
183,پولیس نے مظاہرین کے ساتھ کیا کیا؟,پولیس نے مظاہرین کو فوری طور پر گرفتار کر لیا۔
183,2008 میں بیجنگ کھیلوں کی تنظیمی کمیٹی نے کیا اعلان کیا؟,بیجنگ کھیلوں کی تنظیمی کمیٹی نے اعلان کیا کہ بین الاقوامی مشعل ریلے کو منسوخ کر دیا گیا تھا۔
184,کمیٹی نے ریلی کو کب منسوخ کرنے کا اعلان کیا؟,کمیٹی نے ریلی کو منسوخ کرنے کا اعلان زلزلے کے بعد کیا۔
184,چینی حکومت نے امدادی کاموں پر توجہ دینے کے قابل کیوں بنایا؟,چینی حکومت نے امدادی کاموں پر توجہ دینے کے قابل اس لیے بنایا تاکہ زلزلے کے بعد امدادی سرگرمیاں بہتر طور پر انجام دی جا سکیں۔
184,مظاہروں کے جواب میں پیپلز ڈیلی میں کیا کہا گیا؟,پیپلز ڈیلی میں کہا گیا کہ چینی لوگوں کو اپنے محب وطن جوش و خروش کو ظاہر کرنا چاہیے اور اسے منظم اور قانونی انداز میں پیش کرنا چاہیے۔
184,چین میں سب سے پہلے کون سی کمیٹی نے خیرمقدم کیا؟,چین میں سب سے پہلے پولیٹ بیورو اسٹیئرنگ کمیٹی نے خیرمقدم کیا۔
184,پی سی سی کے سیکرٹری جنرل کو کب منتقل کیا گیا؟,پی سی سی کے سیکرٹری جنرل کو بعد میں منتقل کیا گیا۔
